Data	Temperatura średnia [°C]	Opady [mm]
1.09.2023	15.90	0.2
2.09.2023	16.3	5.4
3.09.2023	16.0	8.7
4.09.2023	15.6	7.1
5.09.2023	15.9	0.1
6.09.2023	16.8	0.0
7.09.2023	17.7	0.0
8.09.2023	17.4	0.0
9.09.2023	17.8	0.0
10.09.2023	17.5	0.0
11.09.2023	18.5	0.0
12.09.2023	20.0	0.0
13.09.2023	21.0	0.0
14.09.2023	18.0	0.7
15.09.2023	14.6	0.8
16.09.2023	13.6	0.1
17.09.2023	17.4	0.2
18.09.2023	19.3	0.0
19.09.2023	17.7	2.4
20.09.2023	17.5	2.5
21.09.2023	17.4	0.0
22.09.2023	19.1	0.0
23.09.2023	20.6	0.4
24.09.2023	15.1	7.9
25.09.2023	15.6	4.7
26.09.2023	16.2	0.2
27.09.2023	17.7	0.2
28.09.2023	17.0	0.2
29.09.2023	15.9	0.1
30.09.2023	14.9	0.3
1.09.2024	19.8	0.0
2.09.2024	20.4	0.1
3.09.2024	21.3	0.0
4.09.2024	21.2	0.0
5.09.2024	20.3	0.0
6.09.2024	24.2	0.0
7.09.2024	18.6	0.0
8.09.2024	18.9	0.0
9.09.2024	17.7	0.0
10.09.2024	16.4	0.2
11.09.2024	16.1	2.1
12.09.2024	16.4	0.0
13.09.2024	16.4	0.5
14.09.2024	17.3	4.3
15.09.2024	14.8	21.5
16.09.2024	18.1	21.5
17.09.2024	16.3	5.1
18.09.2024	15.3	0.1
19.09.2024	15.1	0.5
20.09.2024	12.4	0.0
21.09.2024	14.0	0.0
22.09.2024	15.7	0.0
23.09.2024	15.7	0.1
24.09.2024	18.0	0.0
25.09.2024	17.2	0.3
26.09.2024	17.5	0.4
27.09.2024	20.0	0.1
28.09.2024	15.3	0.6
29.09.2024	9.5	5.3
30.09.2024	8.7	5.3
1.09.2025	18.3	0.0
2.09.2025	21.6	0.2
3.09.2025	19.9	0.0
4.09.2025	19.4	0.4
5.09.2025	22.3	4.9
6.09.2025	21.5	0.0
7.09.2025	18.3	0.0
8.09.2025	17.5	0.0
9.09.2025	17.1	0.0
10.09.2025	18.4	0.0
11.09.2025	17.4	0.3
12.09.2025	18.2	13.9
13.09.2025	14.9	0.0
14.09.2025	15.6	0.1
15.09.2025	15.7	13.9
16.09.2025	15.5	1.3
17.09.2025	13.0	2.0
18.09.2025	13.5	0.0
19.09.2025	16.8	0.3
20.09.2025	18.3	0.1
21.09.2025	21.4	0.0
22.09.2025	21.6	0.0
23.09.2025	12.9	0.0
24.09.2025	10.7	6.5
25.09.2025	8.5	0.5
26.09.2025	8.1	0.0
27.09.2025	8.4	0.0
28.09.2025	9.0	0.0
29.09.2025	8.7	0.4
30.09.2025	8.5	1.3
